folder_id;Trail Type;Distance (km);Elevation gain (m);Est. Time (hrs);Difficulty;Rating (out of 5);Available images;Image file path;Image URL;image_id;Coordinates (Lat, lon);Username;Date;id
Pecol - Casera di Pioda;Out & Back;19,5;1710;6,75;Hard;4,4;239;/Users/just/Documents/ERM/Hiking trail images/Pecol - Casera di Pioda/Image 1.webp;https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzk3MDk2NzAvMjFhNjQxNTA0YmVmNDYzNTQ4YjVmNjQ2YmYzYzI5ODUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9LCJyb3RhdGUiOm51bGwsImpwZWciOnsidHJlbGxpc1F1YW50aXNhdGlvbiI6dHJ1ZSwib3ZlcnNob290RGVyaW5naW5nIjp0cnVlLCJvcHRpbWlzZVNjYW5zIjp0cnVlLCJxdWFudGlzYXRpb25UYWJsZSI6M319fQ==;1;46.39177, 12.09202 ;Brigitta Paneghetti;25/07/2024;Pecol - Casera di Pioda 1
Pecol - Casera di Pioda;Out & Back;19,5;1710;6,75;Hard;4,4;239;/Users/just/Documents/ERM/Hiking trail images/Pecol - Casera di Pioda/Image 2.webp;https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvODEzMzYwNTUvMTgzZTE5MmUwZGQ0NmI3MWExMjllMzM1MmI4ZjNkNTcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9LCJyb3RhdGUiOm51bGwsImpwZWciOnsidHJlbGxpc1F1YW50aXNhdGlvbiI6dHJ1ZSwib3ZlcnNob290RGVyaW5naW5nIjp0cnVlLCJvcHRpbWlzZVNjYW5zIjp0cnVlLCJxdWFudGlzYXRpb25UYWJsZSI6M319fQ==;2;46.38508, 12.06229;Balázs Váci;14/08/2024;Pecol - Casera di Pioda 2
Pecol - Casera di Pioda;Out & Back;19,5;1710;6,75;Hard;4,4;239;/Users/just/Documents/ERM/Hiking trail images/Pecol - Casera di Pioda/Image 3.webp;https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvODEwNTIxMTgvMDM3MDEyZDNiN2ZhNjQxY2E1NDEyMmRhMjdiOWQyYzMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9LCJyb3RhdGUiOm51bGwsImpwZWciOnsidHJlbGxpc1F1YW50aXNhdGlvbiI6dHJ1ZSwib3ZlcnNob290RGVyaW5naW5nIjp0cnVlLCJvcHRpbWlzZVNjYW5zIjp0cnVlLCJxdWFudGlzYXRpb25UYWJsZSI6M319fQ==;3;46.39958, 12.06620;Lucas Hall;11/08/2024;Pecol - Casera di Pioda 3
Pecol - Casera di Pioda;Out & Back;19,5;1710;6,75;Hard;4,4;239;/Users/just/Documents/ERM/Hiking trail images/Pecol - Casera di Pioda/Image 4.webp;https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvODEwNTE4NjcvNDAxOGM5ZDgyOTE0ZGVmZWZkZTdmZWMxYzJlMzM3OGEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9LCJyb3RhdGUiOm51bGwsImpwZWciOnsidHJlbGxpc1F1YW50aXNhdGlvbiI6dHJ1ZSwib3ZlcnNob290RGVyaW5naW5nIjp0cnVlLCJvcHRpbWlzZVNjYW5zIjp0cnVlLCJxdWFudGlzYXRpb25UYWJsZSI6M319fQ==;4;46.39947, 12.06724;Lucas Hall;11/08/2024;Pecol - Casera di Pioda 4
Pecol - Casera di Pioda;Out & Back;19,5;1710;6,75;Hard;4,4;239;/Users/just/Documents/ERM/Hiking trail images/Pecol - Casera di Pioda/Image 5.webp;https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvODAzODY4MzcvOTRiNTEyMDkzNzg4NmU4ODMxYTY0NmNjNmFjY2RkZDQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9LCJyb3RhdGUiOm51bGwsImpwZWciOnsidHJlbGxpc1F1YW50aXNhdGlvbiI6dHJ1ZSwib3ZlcnNob290RGVyaW5naW5nIjp0cnVlLCJvcHRpbWlzZVNjYW5zIjp0cnVlLCJxdWFudGlzYXRpb25UYWJsZSI6M319fQ==;5;46.39928, 12.06907;Mattia Cremasco;03/08/2024;Pecol - Casera di Pioda 5
Pecol - Casera di Pioda;Out & Back;19,5;1710;6,75;Hard;4,4;239;/Users/just/Documents/ERM/Hiking trail images/Pecol - Casera di Pioda/Image 6.webp;https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvODEwNTE4NjEvZTk1ZGEyYWJmMjgwNWMwMTdkNmQ5ODE5NTBlNWI5MTQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9LCJyb3RhdGUiOm51bGwsImpwZWciOnsidHJlbGxpc1F1YW50aXNhdGlvbiI6dHJ1ZSwib3ZlcnNob290RGVyaW5naW5nIjp0cnVlLCJvcHRpbWlzZVNjYW5zIjp0cnVlLCJxdWFudGlzYXRpb25UYWJsZSI6M319fQ==;6;46.39949, 12.06909;Lucas Hall;11/08/2024;Pecol - Casera di Pioda 6
Pecol - Casera di Pioda;Out & Back;19,5;1710;6,75;Hard;4,4;239;/Users/just/Documents/ERM/Hiking trail images/Pecol - Casera di Pioda/Image 7.webp;https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzgzNDU4NjEvODI2NjNlYzU5OWJmMTYzZWY1NTA5MjNkOGIwMzc1YWQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9LCJyb3RhdGUiOm51bGwsImpwZWciOnsidHJlbGxpc1F1YW50aXNhdGlvbiI6dHJ1ZSwib3ZlcnNob290RGVyaW5naW5nIjp0cnVlLCJvcHRpbWlzZVNjYW5zIjp0cnVlLCJxdWFudGlzYXRpb25UYWJsZSI6M319fQ==;7;46.39964, 12.06935;Tuğba B.;07/07/2024;Pecol - Casera di Pioda 7
Pecol - Casera di Pioda;Out & Back;19,5;1710;6,75;Hard;4,4;239;/Users/just/Documents/ERM/Hiking trail images/Pecol - Casera di Pioda/Image 8.webp;https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvODIyMTI0NDYvYmY2NjI1ZWE5MDcxNjA0NDRkYWQ3NzkxYjliOGY2MmMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9LCJyb3RhdGUiOm51bGwsImpwZWciOnsidHJlbGxpc1F1YW50aXNhdGlvbiI6dHJ1ZSwib3ZlcnNob290RGVyaW5naW5nIjp0cnVlLCJvcHRpbWlzZVNjYW5zIjp0cnVlLCJxdWFudGlzYXRpb25UYWJsZSI6M319fQ==;8;46.40138, 12.07246;matt1ia -;25/08/2024;Pecol - Casera di Pioda 8
Pecol - Casera di Pioda;Out & Back;19,5;1710;6,75;Hard;4,4;239;/Users/just/Documents/ERM/Hiking trail images/Pecol - Casera di Pioda/Image 9.webp;https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvODIzMDExNTUvNjJjNzhiMTFiZTk2ZTkwMzVlN2U2MGY4YmI3NGY5MWIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9LCJyb3RhdGUiOm51bGwsImpwZWciOnsidHJlbGxpc1F1YW50aXNhdGlvbiI6dHJ1ZSwib3ZlcnNob290RGVyaW5naW5nIjp0cnVlLCJvcHRpbWlzZVNjYW5zIjp0cnVlLCJxdWFudGlzYXRpb25UYWJsZSI6M319fQ==;9;46.40220, 12.07246;Filippo Bedini;15/08/2024;Pecol - Casera di Pioda 9
Pecol - Casera di Pioda;Out & Back;19,5;1710;6,75;Hard;4,4;239;/Users/just/Documents/ERM/Hiking trail images/Pecol - Casera di Pioda/Image 10.webp;https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvODI5ODM0ODAvMjJmYWZhOTczNzVhZmY4MjViNmI0Njg3OWFiOTU1ZWMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9LCJyb3RhdGUiOm51bGwsImpwZWciOnsidHJlbGxpc1F1YW50aXNhdGlvbiI6dHJ1ZSwib3ZlcnNob290RGVyaW5naW5nIjp0cnVlLCJvcHRpbWlzZVNjYW5zIjp0cnVlLCJxdWFudGlzYXRpb25UYWJsZSI6M319fQ==;10;46.40428, 12.07185;Michael Kennedy;03/09/2024;Pecol - Casera di Pioda 10
